Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Geographic_location_(depth),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id,water_environmental_package,chlorophylla_ngml,diss_org_carb_mgcl,Extra,soluble_react_phosp_um,tdn_mgnl,tp_um,chloride_mgl,ammonium_ppb,conduc_ms,Salinity_ppt,Temp,tot_carb_mgkg,tot_nitro_mgkg,chem_administration,sulfate_mgl,Calcium_ppm,Magnesium_ppm,Potassium_ppm
ERR2143758,WGS,502,73259872,PRJEB22811,SAMEA104324806,40246384,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Sediment,ERX2200291,SAMEA104324806,Mexico,North America,Mexico,0.165,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JC1ASEDIMENT120627,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:53:00Z,1,SAMEA104324806,JC1ASEDIMENT120627,WGS,ERP104517,JC1ASEDIMENT120627,water,,,,,,,,,,,,56030,2830,,,,,
ERR2143759,WGS,502,358330110,PRJEB22811,SAMEA104324814,195890643,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Water,ERX2200292,SAMEA104324814,Mexico,North America,Mexico,0.165,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JC1DASH3120627WATERRESIZED,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:53:00Z,1,SAMEA104324814,JC1DASH3120627WATERRESIZED,WGS,ERP104517,JC1DASH3120627WATERRESIZED,water,5.028,37.9,DASHRESIZED,0.19957183,4.6,3.3301182,,,11.15,7,20.6,,,,,,,
ERR2143760,WGS,502,412131458,PRJEB22811,SAMEA104324815,220488603,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Water,ERX2200293,SAMEA104324815,Mexico,North America,Mexico,0.165,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JC1DASH3WATER120627,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:53:00Z,1,SAMEA104324815,JC1DASH3WATER120627,WGS,ERP104517,JC1DASH3WATER120627,water,5.028,37.9,DASH,0.19957183,4.6,3.3301182,,,11.15,7,20.6,,,,,,,
ERR2143761,WGS,502,432800806,PRJEB22811,SAMEA104324816,231937306,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Water,ERX2200294,SAMEA104324816,Mexico,North America,Mexico,0.18,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JC2DASH1120627WATER,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:53:00Z,1,SAMEA104324816,JC2DASH1120627WATER,WGS,ERP104517,JC2DASH1120627WATER,water,5.748,23.3,DASH,0.1344572,3.3,3.135979,288.9545,,9.24,5.7,20.9,,,,4416,,,
ERR2143762,WGS,502,396464038,PRJEB22811,SAMEA104324807,224072616,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Sediment,ERX2200295,SAMEA104324807,Mexico,North America,Mexico,0.17,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JC3B120627SEDIMENT,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324807,JC3B120627SEDIMENT,WGS,ERP104517,JC3B120627SEDIMENT,water,,,,,,,,,,,,,,,,,,
ERR2143763,WGS,502,125435744,PRJEB22811,SAMEA104324808,71395727,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Sediment,ERX2200296,SAMEA104324808,Mexico,North America,Mexico,0.17,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JC3B120627SEDRESIZEAMP,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324808,JC3B120627SEDRESIZEAMP,WGS,ERP104517,JC3B120627SEDRESIZEAMP,water,,,RESIZEDAMP,,,,,,,,,,,,,,,
ERR2143764,WGS,502,1193214844,PRJEB22811,SAMEA104324817,612004747,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Water,ERX2200297,SAMEA104324817,Mexico,North America,Mexico,0.17,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JC3DASH1WATER120627AMP,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324817,JC3DASH1WATER120627AMP,WGS,ERP104517,JC3DASH1WATER120627AMP,water,5.549,23,DASHAMP,0.12360477,3.1,3.089389,273.0404,,8.18,5,20.7,,,,4398,,,
ERR2143765,WGS,502,23170814,PRJEB22811,SAMEA104324809,12541596,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Sediment,ERX2200298,SAMEA104324809,Mexico,North America,Mexico,0.125,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JC4B120627SEDIMENT,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324809,JC4B120627SEDIMENT,WGS,ERP104517,JC4B120627SEDIMENT,water,,,,,,,,,,,,56190,4110,,,,,
ERR2143766,WGS,502,410960292,PRJEB22811,SAMEA104324818,220089321,J CRAIG VENTER INSTITUTE,2012-06-27,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Water,ERX2200299,SAMEA104324818,Mexico,North America,Mexico,0.125,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JC4DASH3120627WATERAMP,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324818,JC4DASH3120627WATERAMP,WGS,ERP104517,JC4DASH3120627WATERAMP,water,3.354,32.1,DASHAMP,0.15616208,2.9,3.1218076,331.6503,,10.08,6.2,20.9,,,,5259,,,
ERR2143767,WGS,502,195273482,PRJEB22811,SAMEA104324788,108078362,J CRAIG VENTER INSTITUTE,2011-05-14,metagenome,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-11-27,2017-11-27T00:00:00Z,2018-11-16,2017-09-27,Desert,Pond,Water,ERX2200300,SAMEA104324788,Mexico,North America,Mexico,0.22,26.85,-102.14,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2017-11-27T17:01:44Z,2017-09-27T19:56:46Z,public,Illumina MiSeq,metagenome,JP1110514WATERRESIZED,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Cuatro Cienegas Lagunita Enrichment,2017-11-29T00:00:00Z,2017-12-07T20:54:00Z,1,SAMEA104324788,JP1110514WATERRESIZED,WGS,ERP104517,JP1110514WATERRESIZED,water,13.653,27.2,RESIZED,0.060291726,1.9,1.810977,5958.8,12.76,,,,,,,,753.732,588.054,41.483
